index,Source airport,Destination airport,Source Latitude,Source Longitude,Destination Latitude,Destination Longitude
44623,LNZ,FRA,48.233,14.183,50.026,8.543
44624,LNZ,VIE,48.233,14.183,48.11,16.57
44625,LPA,VIE,27.932,-15.386,48.11,16.57
44626,LUX,VIE,49.626,6.211,48.11,16.57
44627,LWO,VIE,49.813,23.956,48.11,16.57
44628,LYS,VIE,45.726,5.091,48.11,16.57
44629,MLA,VIE,35.857,14.478,48.11,16.57
44630,MSQ,VIE,53.882,28.031,48.11,16.57
44631,MUC,GRZ,48.354,11.786,47.0,15.433
44632,MUC,VIE,48.354,11.786,48.11,16.57
44633,MXP,VIE,45.631,8.728,48.11,16.57
44634,NAP,VIE,40.886,14.291,48.11,16.57
44635,NCE,VIE,43.661,7.218,48.11,16.57
44636,NRT,VIE,35.765,140.386,48.11,16.57
44637,ODS,VIE,46.427,30.678,48.11,16.57
44638,OLB,VIE,40.899,9.518,48.11,16.57
44639,ORD,VIE,41.979,-87.904,48.11,16.57
44640,OSL,VIE,60.194,11.1,48.11,16.57
44641,OTP,VIE,44.574,26.103,48.11,16.57
44642,PEK,VIE,40.08,116.584,48.11,16.57
44643,PMI,VIE,39.55,2.733,48.11,16.57
44644,PMO,VIE,38.176,13.091,48.11,16.57
